Wisla,Polska, 120, 134, 7.24, 10.80, 144, -28, 89, 0.14, 0.3, 0.3
Willingen,Niemcy, 130, 147, 7.99, 11.70, 155.5, -28, 88, 0.19, 0.29, 0.33
Lahti,Finlandia, 90, 100, 7, 8, 105.5, -28, 94, 0.181, 0.25, 0.162
Zakopane,Polska, 125, 140, 7.56, 10.8, 151, -28, 89, 0.14, 0.295, 0.315
Sapporo,Japonia, 90, 100, 7.00, 8.00, 106.5, -28, 93, 0.2, 0.252, 0.145
Sapporo,Japonia, 123, 137, 7.40, 10.80, 151, -28, 86, 0.12, 0.25, 0.35
Garmisch-Partenkirchen,Niemcy, 125, 142, 7.67, 10.44, 149, -28, 89, 0.13, 0.295, 0.315
Kuusamo,Finlandia, 125, 142, 9.54, 11.70, 150.5, -28, 86, 0.128, 0.13, 0.355
Oslo,Norwegia, 120, 134, 7.13, 9.90, 145.5, -28, 88, 0.14, 0.28, 0.325
Bischoschofen,Austria, 125, 142, 4.86, 10.8, 147, -28, 89, 0.155, 0.305, 0.307
Liberec,Czechy, 120, 136, 5.93, 10.44, 144.5, -28, 88, 0.125, 0.295, 0.305
Nizhny Tagil,Rosja, 120, 134, 7.24, 9.90, 145, -28, 88, 0.13, 0.285, 0.31
Nizhny Tagil,Rosja, 90, 97, 7.00, 8.00, 106.5, -28, 93, 0.18, 0.245, 0.163
Vikersund,Norwegia, 110, 117, 7.20, 10.44, 127, -28, 90, 0.6, 0.24, 0.185
Szczyrk,Polska, 95, 104, 7.00, 8.00, 115, -28, 92, 0.18, 0.24, 0.168
Oberhof,Niemcy, 120, 140, 8.10, 10.8, 149, -28, 88, 0.14, 0.3, 0.3
Oberstdorf,Niemcy,95,106, 7.00, 8.00, 115, -28, 93, 0.19, 0.244, 0.165
Seefeld,Austria, 99, 109, 7.00, 8.00, 117, -28, 93, 0.178, 0.25, 0.173
Schuchinsk,Kazachstan, 90, 99, 7.00, 8.00, 107.5, -28, 93, 0.178, 0.247, 0.162
Stams,Austria, 105, 115, 7.20, 10.44, 123, -28, 91, 0.15, 0.26, 0.205
Strbske Pleso,Slowacja, 90, 100, 7.00, 8.00, 107, -28, 93, 0.179, 0.25, 0.16
Liberec,Czechy, 90, 100, 5, 8.00, 106.5, -28, 93, 0.182, 0.25, 0.16
Schonach,Niemcy, 90, 100, 7.00, 8.00, 107, -28, 93, 0.184, 0.25, 0.16
Hinzenbach,Austria, 85, 90, 4.80, 7.00, 101.5, -28, 94, 0.19, 0.24, 0.13
Chaux-Neuve,Francja, 56, 64, 4, 5.90, 69, -28, 96, 0.12, 0.2, 0.08
Einsiedeln,Szwajcaria, 70, 77, 4.40, 6.4, 85, -28, 95, 0.15, 0.23, 0.10
Einsiedeln, Szwajcaria, 105, 117, 6.32, 7.29, 125, -28, 91, 0.13, 0.24, 0.18
Hinterzarten,Niemcy, 70, 77, 4.40, 6.4, 85, -28, 95, 0.15, 0.23, 0.10
Szczyrk,Polska, 70, 75, 4.40, 6.4, 84, -28, 95, 0.15, 0.23, 0.1
Villach,Austria, 60, 65, 4.20, 6, 72.5, -28, 96, 0.13, 0.21, 0.074
Kuopio,Finlandia, 120, 127, 7.20, 8.46, 138, -28, 89, 0.145, 0.31, 0.28
Kuopio,Finlandia, 92, 100, 7.00, 8.00, 106.5, -28, 94, 0.2, 0.26, 0.13
Klingenthal,Niemcy, 125, 140, 7.67, 10.80, 152, -28, 88, 0.127, 0.3, 0.308
