Wisla,Polska, 120, 134, 7.24, 10.80, 144, -50, 89, 0.14, 0.3, 0.3
Willingen,Niemcy, 135, 152, 7.99, 11.70, 155.5, -50, 88, 0.22, 0.319, 0.335
Lahti,Finlandia, 90, 100, 7, 8, 105.5, -50, 94, 0.181, 0.25, 0.162
Zakopane,Polska, 125, 140, 7.56, 10.8, 151, -50, 89, 0.14, 0.295, 0.315
Sapporo,Japonia, 90, 100, 7.00, 8.00, 106.5, -50, 93, 0.2, 0.252, 0.145
Sapporo,Japonia, 130, 150, 7.40, 10.80, 157, -50, 86, 0.122, 0.3, 0.33
Garmisch-Partenkirchen,Niemcy, 125, 142, 7.67, 10.44, 149, -50, 89, 0.13, 0.295, 0.315
Kuusamo,Finlandia, 125, 142, 9.54, 11.70, 150.5, -50, 86, 0.128, 0.13, 0.355
Oslo,Norwegia, 120, 134, 7.13, 9.90, 145.5, -50, 88, 0.14, 0.28, 0.325
Bischoschofen,Austria, 125, 142, 4.86, 10.8, 147, -50, 89, 0.155, 0.305, 0.307
Liberec,Czechy, 120, 136, 5.93, 10.44, 144.5, -50, 88, 0.125, 0.295, 0.305
Nizhny Tagil,Rosja, 120, 134, 7.24, 9.90, 145, -50, 88, 0.13, 0.285, 0.31
Nizhny Tagil,Rosja, 90, 97, 7.00, 8.00, 106.5, -50, 93, 0.18, 0.245, 0.163
Vikersund,Norwegia, 110, 117, 7.20, 10.44, 127, -50, 90, 0.6, 0.24, 0.185
Szczyrk,Polska, 95, 104, 7.00, 8.00, 115, -50, 92, 0.18, 0.24, 0.168
Oberhof,Niemcy, 120, 140, 8.10, 10.8, 149, -50, 88, 0.14, 0.3, 0.3
Oberstdorf,Niemcy,95,106, 7.00, 8.00, 115, -50, 93, 0.19, 0.244, 0.165
Seefeld,Austria, 99, 109, 7.00, 8.00, 117, -50, 93, 0.178, 0.25, 0.173
Schuchinsk,Kazachstan, 90, 99, 7.00, 8.00, 107.5, -50, 93, 0.178, 0.247, 0.162
Stams,Austria, 105, 115, 7.20, 10.44, 123, -50, 91, 0.15, 0.26, 0.205
Strbske Pleso,Slowacja, 90, 100, 7.00, 8.00, 107, -50, 93, 0.179, 0.25, 0.16
Liberec,Czechy, 90, 100, 5, 8.00, 106.5, -50, 93, 0.182, 0.25, 0.16
Schonach,Niemcy, 90, 100, 7.00, 8.00, 107, -50, 93, 0.184, 0.25, 0.16
Hinzenbach,Austria, 85, 90, 4.80, 7.00, 101.5, -50, 94, 0.19, 0.24, 0.13
Chaux-Neuve,Francja, 56, 64, 4, 5.90, 69, -50, 96, 0.12, 0.2, 0.08
Einsiedeln,Szwajcaria, 70, 77, 4.40, 6.4, 85, -50, 95, 0.15, 0.23, 0.10
Einsiedeln, Szwajcaria, 105, 117, 6.32, 7.29, 125, -50, 91, 0.13, 0.24, 0.18
Hinterzarten,Niemcy, 70, 77, 4.40, 6.4, 85, -50, 95, 0.15, 0.23, 0.10
Szczyrk,Polska, 70, 75, 4.40, 6.4, 84, -50, 95, 0.15, 0.23, 0.1
Villach,Austria, 60, 65, 4.20, 6, 72.5, -50, 96, 0.13, 0.21, 0.074
Kuopio,Finlandia, 120, 127, 7.20, 8.46, 138, -50, 89, 0.145, 0.31, 0.28
Kuopio,Finlandia, 92, 100, 7.00, 8.00, 106.5, -50, 94, 0.2, 0.26, 0.13
Klingenthal,Niemcy, 125, 140, 7.67, 10.80, 152, -50, 88, 0.127, 0.3, 0.308
Planica,Slowenia, 95, 102, 7.00, 8.00, 108, -50, 93, 0.18, 0.253, 0.16
Soczi,Rosja, 125, 140, 7.56, 10.80, 148.5, -50, 89, 0.14, 0.312, 0.288
Kuusamo,Finlandia, 120, 142, 9.54, 11.70, 151, -50, 87, 0.12, 0.27, 0.325
Wisla,Polska, 120, 134, 7.24, 10.80, 144, -50, 89, 0.14, 0.3, 0.3
Engelberg,Szwajcaria, 125, 140, 7.56, 10.44, 149, -50, 89, 0.15, 0.308, 0.292
Oberstdorf,Niemcy, 120, 137, 7.56, 10.80, 146, -50, 88.5, 0.14, 0.297, 0.303
Innsbruck,Austria, 120, 133, 7.02, 9.90, 143, -50, 88.5, 0.144, 0.285, 0.310
Bischoschofen,Austria, 125, 142, 4.86, 10.8, 147.5, -50, 89.5, 0.15, 0.318, 0.286
Courchevel,Francja, 125, 135, 8.82, 12.60, 142.5, -50, 89, 0.145, 0.298, 0.298
Planica,Sowenia, 125, 138, 7.45, 9.90, 147, -50, 89, 0.149, 0.31, 0.29
Hakuba,Japonia, 125, 135, 8.9, 10.80, 142, -50, 88, 0.144, 0.302, 0.307
Hakuba,Japonia, 90, 100, 7.00, 8.00, 106.5, -50, 93, 0.19, 0.26, 0.152
Lillehammer,Norwegia, 90, 98, 7.00, 8.00, 107, -50, 93, 0.192, 0.256, 0.15
Lillehammer,Norwegia, 123, 140, 7.56, 9.90, 150, -50, 88, 0.13, 0.257, 0.315
Rasnov,Rumunia, 90, 97, 7.00, 8.00, 107, -50, 93, 0.16, 0.25, 0.125
Stams,Austria, 105, 115, 7.20, 10.44, 123.5, -50, 91, 0.2, 0.245, 0.175
Erzurum,Turcja, 95, 109, 7.00, 8.00, 116.5, -50, 92, 0.18, 0.24, 0.15
Lomnice nad Popelkou,Czechy, 70, 77, 4.40, 6.4, 85, -50, 95, 0.15, 0.23, 0.10
Paradiskullen,Szwecja, 90, 100, 7.00, 8.00, 106.5, -50, 93, 0.19, 0.26, 0.152
Whistler,Kanada, 95, 104, 7.00, 8.00, 111, -50, 93, 0.20, 0.263, 0.151
Lahti,Finlandia, 116, 130, 7.56, 9.90, 139.5, -50, 89, 0.14, 0.29, 0.3095
Eau Claire,USA, 85, 95, 7.00, 8.00, 101, -50, 94, 0.194, 0.26, 0.14
Iron Mountain,USA, 120, 133, 7.26, 9.90, 145, -50, 89, 0.129, 0.27, 0.33
Titisee-Neudstadt,Niemcy, 125, 142, 7.67, 10.8, 150, -50, 89, 0.13, 0.292, 0.319
Zhangkjiakou,Chiny, 95, 106, 7.00, 8.00, 112, -50, 93, 0.198, 0.26, 0.16
Schuchinsk,Kazachstan, 125, 140, 7.67, 10.8, 154, -50, 89, 0.12, 0.272, 0.337
Pyeongchang,Korea Poludniowa, 125, 142, 7.67, 10.8, 149, -50, 89, 0.135, 0.301, 0.305
Pyeongchang,Korea Poludniowa, 98, 109, 7.00, 8.00, 114, -50, 93, 0.197, 0.258, 0.164
Vikersund,Norwegia, 200, 240, 8.64, 14.40, 247.5, -50, 82, 0.12, 0.224, 0.749
Planica,Slowenia, 200, 240, 8.64, 14.40, 252.5, -50, 82, 0.095, 0.23, 0.74
Kulm,Austria, 205, 245, 8.46, 14.40, 251.5, -50, 83, 0.119, 0.237, 0.712
Oberstdorf,Niemcy, 200, 235, 8.46, 14.40, 244, -50, 83, 0.12, 0.238, 0.724
Sydney,Australia, 200, 220, 8.46, 14.40, 255, -50, 82, 0.10, 0.18, 0.8
Chaikovsky,Rosja, 95, 102, 7.00, 8.00, 110, -50, 93, 0.199, 0.258, 0.144
Chaikovsky,Rosja, 125, 140, 7.56, 10.8, 150, -50, 89, 0.13, 0.295, 0.31
Erzurum,Turcja, 125, 140, 7.56, 10.8, 149.5, -50, 89, 0.13, 0.295, 0.31
